id,name,category,created_at
2eaaa15d-65a4-4823-af1d-758990a0ad56,Pull-ups,Back,2025-07-06 17:58:53.62021+00
3c7c00ad-fce7-48a2-80e8-c95c02baf551,Close Grip Bench Press,Arms,2025-07-06 17:58:53.62021+00
400bd8cc-1a2c-469c-92af-cfb0ceb77221,Barbell Squat,Legs,2025-07-06 17:58:53.62021+00
4c17343d-3190-4612-8dc8-496d23afaf07,Tricep Dip,Arms,2025-07-06 17:58:53.62021+00
5d132716-12bc-4c5c-bb8a-e256a6442420,Lat Pulldown,Back,2025-07-06 17:58:53.62021+00
6bf27ee8-35f5-47f0-9701-f512ab41ae9a,Dumbbell Shoulder Press,Shoulders,2025-07-06 17:58:53.62021+00
7d8ed1be-5ed9-432b-b881-6ec992c05667,Leg Curl,Legs,2025-07-06 17:58:53.62021+00
7ecb8f3b-5f8f-4bd9-a88a-6cf762dd1450,Barbell Row,Back,2025-07-06 17:58:53.62021+00
80ba94d5-2e9a-45a4-a638-fff63a73a809,Leg Extension,Legs,2025-07-06 17:58:53.62021+00
8880b041-4755-4990-a5fe-06b8290ef6e9,Overhead Press,Shoulders,2025-07-06 17:58:53.62021+00
8f4283cc-f043-4056-9c87-a22043ca11a7,Lateral Raise,Shoulders,2025-07-06 17:58:53.62021+00
9d155212-ad2a-4ea1-92e5-4fc0b6412047,Incline Dumbbell Press,Chest,2025-07-06 17:58:53.62021+00
bc2b641d-0fb4-4be1-8a9b-b15d695ce5e1,Barbell Bench Press,Chest,2025-07-06 17:58:53.62021+00
beb40a49-6e66-4582-8da6-488dc4e84abd,Romanian Deadlift,Legs,2025-07-06 17:58:53.62021+00
c44dac23-c65a-4f6b-b27b-af74e34187b0,Barbell Curl,Arms,2025-07-06 17:58:53.62021+00
c51b8fa6-fe6a-4ce1-bc05-cdddbb238bec,Face Pull,Shoulders,2025-07-06 17:58:53.62021+00
f179f305-126b-49be-9eff-79e828175c64,Deadlift,Back,2025-07-06 17:58:53.62021+00
f3e0e34e-f788-4872-88fc-494fdb542624,Dips,Chest,2025-07-06 17:58:53.62021+00
fb011e69-574b-4b2c-95ea-e223a9003acf,Hammer Curl,Arms,2025-07-06 17:58:53.62021+00
fde79c20-6b44-476a-9baa-acd72839adfa,Leg Press,Legs,2025-07-06 17:58:53.62021+00
